CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
20001,AAS,010,A01,"T 10:00-10:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,A,African-Am Culture & Soc,Williams,Angelo,23,1
20001,AAS,010,A01,"T 10:00-10:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,A+,African-Am Culture & Soc,Williams,Angelo,23,12
20001,AAS,010,A01,"T 10:00-10:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,B+,African-Am Culture & Soc,Williams,Angelo,23,1
20001,AAS,010,A01,"T 10:00-10:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,I,African-Am Culture & Soc,Williams,Angelo,23,2
20001,AAS,010,A01,"T 10:00-10:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,P*,African-Am Culture & Soc,Williams,Angelo,23,7
20002,AAS,010,A02,"T 11:00-11:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,A,African-Am Culture & Soc,Williams,Angelo,24,2
20002,AAS,010,A02,"T 11:00-11:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,A+,African-Am Culture & Soc,Williams,Angelo,24,17
20002,AAS,010,A02,"T 11:00-11:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,B,African-Am Culture & Soc,Williams,Angelo,24,3
20002,AAS,010,A02,"T 11:00-11:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,B+,African-Am Culture & Soc,Williams,Angelo,24,1
20002,AAS,010,A02,"T 11:00-11:50, TR 6:10-7:30",Undergraduate Lower,202410,Fall Quarter 2024,4.0,P*,African-Am Culture & Soc,Williams,Angelo,24,1
20011,AAS,099,001,T 4:10-5:00,Undergraduate Lower,202410,Fall Quarter 2024,1.0,P,Special Study,Bell,Maya,11,11
20016,AAS,099,006,R 10:10-11:50,Undergraduate Lower,202410,Fall Quarter 2024,2.0,P,Special Study,Anders,Inez,24,24
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A,Africans in Latin Americ,Ngweno,Bettina,64,22
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A+,Africans in Latin Americ,Ngweno,Bettina,64,16
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A-,Africans in Latin Americ,Ngweno,Bettina,64,8
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B,Africans in Latin Americ,Ngweno,Bettina,64,3
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B+,Africans in Latin Americ,Ngweno,Bettina,64,7
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B-,Africans in Latin Americ,Ngweno,Bettina,64,1
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,C,Africans in Latin Americ,Ngweno,Bettina,64,2
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,C+,Africans in Latin Americ,Ngweno,Bettina,64,1
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,D,Africans in Latin Americ,Ngweno,Bettina,64,1
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,F,Africans in Latin Americ,Ngweno,Bettina,64,1
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,NP*,Africans in Latin Americ,Ngweno,Bettina,64,1
20018,AAS,107A,001,TR 10:00-11:50,Undergraduate Upper,202410,Fall Quarter 2024,4.0,P*,Africans in Latin Americ,Ngweno,Bettina,64,1
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A,African Heritage of Asia,Ngweno,Bettina,22,2
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A+,African Heritage of Asia,Ngweno,Bettina,22,6
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,A-,African Heritage of Asia,Ngweno,Bettina,22,3
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B,African Heritage of Asia,Ngweno,Bettina,22,2
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B+,African Heritage of Asia,Ngweno,Bettina,22,2
20019,AAS,107C,001,TR 2:10-4:00,Undergraduate Upper,202410,Fall Quarter 2024,4.0,B-,African Heritage of Asia,Ngweno,Bettina,22,4
