CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
20001,AAS,010,A01,"TR 6:10-7:30, W 4:10-5:00",Undergraduate Lower,202310,Fall Quarter 2023,4.0,A+,African-Am Culture & Soc,Williams,Angelo,22,20
20001,AAS,010,A01,"TR 6:10-7:30, W 4:10-5:00",Undergraduate Lower,202310,Fall Quarter 2023,4.0,I,African-Am Culture & Soc,Williams,Angelo,22,1
20001,AAS,010,A01,"TR 6:10-7:30, W 4:10-5:00",Undergraduate Lower,202310,Fall Quarter 2023,4.0,P*,African-Am Culture & Soc,Williams,Angelo,22,1
20002,AAS,010,A02,"TR 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202310,Fall Quarter 2023,4.0,A+,African-Am Culture & Soc,Williams,Angelo,23,22
20002,AAS,010,A02,"TR 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202310,Fall Quarter 2023,4.0,B,African-Am Culture & Soc,Williams,Angelo,23,1
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,A,Intro African Studies,Taodzera,Shingirai,25,4
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,A+,Intro African Studies,Taodzera,Shingirai,25,4
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,A-,Intro African Studies,Taodzera,Shingirai,25,10
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,B+,Intro African Studies,Taodzera,Shingirai,25,4
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,C+,Intro African Studies,Taodzera,Shingirai,25,1
20003,AAS,012,A01,"M 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202310,Fall Quarter 2023,4.0,I,Intro African Studies,Taodzera,Shingirai,25,1
