CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
30001,AAS,010,A01,"T 4:10-5:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A,African-Am Culture & Soc,Weber,Benjamin,28,8
30001,AAS,010,A01,"T 4:10-5:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A+,African-Am Culture & Soc,Weber,Benjamin,28,15
30001,AAS,010,A01,"T 4:10-5:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A-,African-Am Culture & Soc,Weber,Benjamin,28,4
30001,AAS,010,A01,"T 4:10-5:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,P*,African-Am Culture & Soc,Weber,Benjamin,28,1
30002,AAS,010,A02,"T 5:10-6:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A,African-Am Culture & Soc,Weber,Benjamin,27,11
30002,AAS,010,A02,"T 5:10-6:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A+,African-Am Culture & Soc,Weber,Benjamin,27,9
30002,AAS,010,A02,"T 5:10-6:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,A-,African-Am Culture & Soc,Weber,Benjamin,27,4
30002,AAS,010,A02,"T 5:10-6:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,B+,African-Am Culture & Soc,Weber,Benjamin,27,1
30002,AAS,010,A02,"T 5:10-6:00, TR 1:40-3:00",Undergraduate Lower,202403,Spring Quarter 2024,4.0,P*,African-Am Culture & Soc,Weber,Benjamin,27,2
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,A,Intro to Black Politics,Williams,Angelo,40,14
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,A+,Intro to Black Politics,Williams,Angelo,40,12
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,B,Intro to Black Politics,Williams,Angelo,40,5
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,B+,Intro to Black Politics,Williams,Angelo,40,5
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,C,Intro to Black Politics,Williams,Angelo,40,2
30003,AAS,080,001,TR 6:10-7:30,Undergraduate Lower,202403,Spring Quarter 2024,4.0,P*,Intro to Black Politics,Williams,Angelo,40,2
30008,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202403,Spring Quarter 2024,4.0,A,African Heritg in Europe,White,Elisa,37,6
