CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A,Intro Caribbean Studies,Ngweno,Bettina,25,4
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A-,Intro Caribbean Studies,Ngweno,Bettina,25,6
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B,Intro Caribbean Studies,Ngweno,Bettina,25,5
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B+,Intro Caribbean Studies,Ngweno,Bettina,25,5
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C,Intro Caribbean Studies,Ngweno,Bettina,25,1
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C+,Intro Caribbean Studies,Ngweno,Bettina,25,1
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,D,Intro Caribbean Studies,Ngweno,Bettina,25,1
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,D+,Intro Caribbean Studies,Ngweno,Bettina,25,1
10002,AAS,018,A01,"T 4:10-5:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,D-,Intro Caribbean Studies,Ngweno,Bettina,25,1
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A,Intro Caribbean Studies,Ngweno,Bettina,20,2
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A-,Intro Caribbean Studies,Ngweno,Bettina,20,2
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B,Intro Caribbean Studies,Ngweno,Bettina,20,1
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B+,Intro Caribbean Studies,Ngweno,Bettina,20,7
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B-,Intro Caribbean Studies,Ngweno,Bettina,20,2
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C,Intro Caribbean Studies,Ngweno,Bettina,20,1
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C-,Intro Caribbean Studies,Ngweno,Bettina,20,2
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,F,Intro Caribbean Studies,Ngweno,Bettina,20,2
10003,AAS,018,A02,"T 5:10-6:00, TR 9:00-10:20",Undergraduate Lower,202301,Winter Quarter 2023,4.0,P*,Intro Caribbean Studies,Ngweno,Bettina,20,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A,Black Images,White,Elisa,25,7
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A+,Black Images,White,Elisa,25,7
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A-,Black Images,White,Elisa,25,2
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B,Black Images,White,Elisa,25,2
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B+,Black Images,White,Elisa,25,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B-,Black Images,White,Elisa,25,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C,Black Images,White,Elisa,25,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,C-,Black Images,White,Elisa,25,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,NP*,Black Images,White,Elisa,25,1
10006,AAS,050,A01,"R 4:10-5:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,P*,Black Images,White,Elisa,25,2
10007,AAS,050,A02,"R 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A,Black Images,White,Elisa,23,5
10007,AAS,050,A02,"R 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,A+,Black Images,White,Elisa,23,8
10007,AAS,050,A02,"R 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B,Black Images,White,Elisa,23,6
10007,AAS,050,A02,"R 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,B-,Black Images,White,Elisa,23,1
10007,AAS,050,A02,"R 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202301,Winter Quarter 2023,4.0,F,Black Images,White,Elisa,23,3
