CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,A,African-Am Culture & Soc,Brown,Dorian,21,7
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,A-,African-Am Culture & Soc,Brown,Dorian,21,2
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,B,African-Am Culture & Soc,Brown,Dorian,21,3
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,B+,African-Am Culture & Soc,Brown,Dorian,21,2
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,B-,African-Am Culture & Soc,Brown,Dorian,21,1
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,C,African-Am Culture & Soc,Brown,Dorian,21,3
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,C+,African-Am Culture & Soc,Brown,Dorian,21,1
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,D+,African-Am Culture & Soc,Brown,Dorian,21,1
30002,AAS,010,A01,"M 5:10-6:00, MW 6:10-7:30",Undergraduate Lower,202303,Spring Quarter 2023,4.0,F,African-Am Culture & Soc,Brown,Dorian,21,1
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,A,African-Am Culture & Soc,Brown,Dorian,19,6
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,A-,African-Am Culture & Soc,Brown,Dorian,19,2
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,B,African-Am Culture & Soc,Brown,Dorian,19,2
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,B+,African-Am Culture & Soc,Brown,Dorian,19,2
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,C,African-Am Culture & Soc,Brown,Dorian,19,4
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,C-,African-Am Culture & Soc,Brown,Dorian,19,1
30003,AAS,010,A02,"MW 6:10-7:30, W 5:10-6:00",Undergraduate Lower,202303,Spring Quarter 2023,4.0,P*,African-Am Culture & Soc,Brown,Dorian,19,2
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,A,African Heritg in Europe,White,Elisa,36,8
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,A+,African Heritg in Europe,White,Elisa,36,14
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,A-,African Heritg in Europe,White,Elisa,36,4
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,B,African Heritg in Europe,White,Elisa,36,3
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,B-,African Heritg in Europe,White,Elisa,36,2
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,C+,African Heritg in Europe,White,Elisa,36,1
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,F,African Heritg in Europe,White,Elisa,36,2
30016,AAS,107D,001,TR 2:10-4:00,Undergraduate Upper,202303,Spring Quarter 2023,4.0,P*,African Heritg in Europe,White,Elisa,36,2
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A,African-American Educ,Mukiibi,Elizabeth,12,2
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A-,African-American Educ,Mukiibi,Elizabeth,12,3
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B,African-American Educ,Mukiibi,Elizabeth,12,3
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B+,African-American Educ,Mukiibi,Elizabeth,12,1
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,C,African-American Educ,Mukiibi,Elizabeth,12,1
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,C+,African-American Educ,Mukiibi,Elizabeth,12,1
30017,AAS,130,A01,"M 9:00-9:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,D-,African-American Educ,Mukiibi,Elizabeth,12,1
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A,African-American Educ,Mukiibi,Elizabeth,21,4
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A-,African-American Educ,Mukiibi,Elizabeth,21,4
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B,African-American Educ,Mukiibi,Elizabeth,21,3
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B+,African-American Educ,Mukiibi,Elizabeth,21,1
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B-,African-American Educ,Mukiibi,Elizabeth,21,5
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,F,African-American Educ,Mukiibi,Elizabeth,21,1
30018,AAS,130,A02,"M 10:00-10:50, MW 4:10-5:00",Undergraduate Upper,202303,Spring Quarter 2023,4.0,P*,African-American Educ,Mukiibi,Elizabeth,21,3
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A,Topics in Film,White,Elisa,16,3
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A+,Topics in Film,White,Elisa,16,4
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,A-,Topics in Film,White,Elisa,16,3
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B,Topics in Film,White,Elisa,16,2
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,B+,Topics in Film,White,Elisa,16,2
30024,AAS,185,001,"TR 10:30-11:50,  :-:",Undergraduate Upper,202303,Spring Quarter 2023,4.0,C-,Topics in Film,White,Elisa,16,2
30044,AAS,198,003, :-:,Undergraduate Upper,202303,Spring Quarter 2023,2.0,P,Directed Gp Study,Ampaw-Matthei,Katherine,29,1
30044,AAS,198,003, :-:,Undergraduate Upper,202303,Spring Quarter 2023,4.0,P,Directed Gp Study,Ampaw-Matthei,Katherine,29,28
30077,ABG,200B,001,MW 3:40-5:00,Graduate,202303,Spring Quarter 2023,3.0,A,Integrated Animal Bio II,Oltjen,James,14,6
30077,ABG,200B,001,MW 3:40-5:00,Graduate,202303,Spring Quarter 2023,3.0,A+,Integrated Animal Bio II,Oltjen,James,14,1
30077,ABG,200B,001,MW 3:40-5:00,Graduate,202303,Spring Quarter 2023,3.0,A-,Integrated Animal Bio II,Oltjen,James,14,5
30077,ABG,200B,001,MW 3:40-5:00,Graduate,202303,Spring Quarter 2023,3.0,B,Integrated Animal Bio II,Oltjen,James,14,1
30077,ABG,200B,001,MW 3:40-5:00,Graduate,202303,Spring Quarter 2023,3.0,B+,Integrated Animal Bio II,Oltjen,James,14,1
30081,ABG,255,001,MW 10:00-10:50,Graduate,202303,Spring Quarter 2023,2.0,A,Stress Physiology,Kueltz,Dietmar,12,5
30081,ABG,255,001,MW 10:00-10:50,Graduate,202303,Spring Quarter 2023,2.0,A+,Stress Physiology,Kueltz,Dietmar,12,7
30082,ABG,290,001, :-:,Graduate,202303,Spring Quarter 2023,1.0,S,Animal Biology Seminar,Fangue,Nann,15,15
30208,ABG,396,007, :-:,Professional,202303,Spring Quarter 2023,1.0,S,Teaching Asst Train Prac,Maga,Elizabeth,12,2
30208,ABG,396,007, :-:,Professional,202303,Spring Quarter 2023,2.0,S,Teaching Asst Train Prac,Maga,Elizabeth,12,10
30214,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A,Animal Biology,Attardo,Geoffrey,47,39
30214,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A+,Animal Biology,Attardo,Geoffrey,47,5
30214,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A-,Animal Biology,Attardo,Geoffrey,47,2
30214,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202303,Spring Quarter 2023,3.0,B+,Animal Biology,Attardo,Geoffrey,47,1
30215,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A,Animal Biology,Attardo,Geoffrey,30,26
30215,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A+,Animal Biology,Attardo,Geoffrey,30,3
30215,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202303,Spring Quarter 2023,3.0,A-,Animal Biology,Attardo,Geoffrey,30,1
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,A,Animal Biochem & Metabol,Pettey,Lee,230,25
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,A+,Animal Biochem & Metabol,Pettey,Lee,230,20
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,A-,Animal Biochem & Metabol,Pettey,Lee,230,24
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,B,Animal Biochem & Metabol,Pettey,Lee,230,40
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,B+,Animal Biochem & Metabol,Pettey,Lee,230,21
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,B-,Animal Biochem & Metabol,Pettey,Lee,230,21
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,C,Animal Biochem & Metabol,Pettey,Lee,230,18
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,C+,Animal Biochem & Metabol,Pettey,Lee,230,17
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,C-,Animal Biochem & Metabol,Pettey,Lee,230,19
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,D,Animal Biochem & Metabol,Pettey,Lee,230,7
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,D+,Animal Biochem & Metabol,Pettey,Lee,230,7
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,D-,Animal Biochem & Metabol,Pettey,Lee,230,4
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,D^,Animal Biochem & Metabol,Pettey,Lee,230,1
30234,ABI,103,001,"F 8:00-8:50, MTWR 8:00-8:50",Undergraduate Upper,202303,Spring Quarter 2023,5.0,F,Animal Biochem & Metabol,Pettey,Lee,230,6
30283,ABI,189D,002, :-:,Undergraduate Upper,202303,Spring Quarter 2023,1.0,P,Senior Practicum Discuss,Kimsey,Robert,28,28
30345,ABT,015,A01,"M 11:00-11:50, T 9:00-11:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,P,Wood Prop & Fabrication,Frank,Daniel,18,18
30346,ABT,015,A02,"M 11:00-11:50, W 9:00-11:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,P,Wood Prop & Fabrication,Frank,Daniel,19,17
30346,ABT,015,A02,"M 11:00-11:50, W 9:00-11:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,S,Wood Prop & Fabrication,Frank,Daniel,19,2
30347,ABT,049,A01,"M 1:10-4:00, M 9:00-9:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,NP,Field Eqpt Operation,Frank,Daniel,20,1
30347,ABT,049,A01,"M 1:10-4:00, M 9:00-9:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,P,Field Eqpt Operation,Frank,Daniel,20,18
30347,ABT,049,A01,"M 1:10-4:00, M 9:00-9:50",Undergraduate Lower,202303,Spring Quarter 2023,2.0,S,Field Eqpt Operation,Frank,Daniel,20,1
30348,ABT,049,A02,"M 9:00-9:50, T 1:10-4:00",Undergraduate Lower,202303,Spring Quarter 2023,2.0,P,Field Eqpt Operation,Frank,Daniel,21,19
